timestamp,open,high,low,close,volume,source,symbol,interval
2025-04-30 08:00:00+00:00,94620.99,95228.45,94527.58,95176.66,1661.24557,binance,BTCUSDT,4h
2025-04-30 12:00:00+00:00,95176.66,95214.9,92910.0,94004.63,8257.162,binance,BTCUSDT,4h
2025-04-30 16:00:00+00:00,94004.63,94500.0,93528.71,94152.01,2035.58804,binance,BTCUSDT,4h
2025-04-30 20:00:00+00:00,94152.01,94784.1,94005.0,94172.0,2094.66545,binance,BTCUSDT,4h
2025-05-01 00:00:00+00:00,94172.0,95040.3,94130.43,94782.6,2877.4378,binance,BTCUSDT,4h
2025-05-01 04:00:00+00:00,94782.6,95180.0,94714.38,95025.84,1880.34885,binance,BTCUSDT,4h
2025-05-01 08:00:00+00:00,95025.84,96396.31,94913.04,96180.01,4237.08588,binance,BTCUSDT,4h
2025-05-01 12:00:00+00:00,96180.01,97424.02,95769.66,96854.3,7399.49215,binance,BTCUSDT,4h
2025-05-01 16:00:00+00:00,96854.31,97367.26,96424.44,96523.26,3200.80242,binance,BTCUSDT,4h
2025-05-01 20:00:00+00:00,96523.26,96885.77,96184.19,96489.91,1785.28633,binance,BTCUSDT,4h
2025-05-02 00:00:00+00:00,96489.9,97233.1,96466.21,97102.32,2134.18118,binance,BTCUSDT,4h
2025-05-02 04:00:00+00:00,97102.32,97309.78,96350.0,96350.0,2432.89056,binance,BTCUSDT,4h
2025-05-02 08:00:00+00:00,96350.01,97100.0,96350.0,96928.97,1860.2708,binance,BTCUSDT,4h
2025-05-02 12:00:00+00:00,96928.97,97895.68,96650.94,97330.19,5047.18173,binance,BTCUSDT,4h
2025-05-02 16:00:00+00:00,97330.19,97783.02,96769.84,96924.23,2332.70775,binance,BTCUSDT,4h
2025-05-02 20:00:00+00:00,96924.23,97136.0,96561.57,96887.14,1098.51609,binance,BTCUSDT,4h
2025-05-03 00:00:00+00:00,96887.13,96935.67,96300.02,96337.5,2058.72462,binance,BTCUSDT,4h
2025-05-03 04:00:00+00:00,96337.5,96593.0,96132.67,96322.68,1508.87428,binance,BTCUSDT,4h
2025-05-03 08:00:00+00:00,96322.68,96421.91,95852.29,95942.02,2622.43769,binance,BTCUSDT,4h
2025-05-03 12:00:00+00:00,95942.01,96509.44,95880.65,96418.68,1447.96366,binance,BTCUSDT,4h
2025-05-03 16:00:00+00:00,96418.68,96428.33,95869.68,96354.34,899.94616,binance,BTCUSDT,4h
2025-05-03 20:00:00+00:00,96354.34,96441.49,95753.01,95856.42,1185.40197,binance,BTCUSDT,4h
2025-05-04 00:00:00+00:00,95856.42,96304.48,95588.0,95722.23,1523.29654,binance,BTCUSDT,4h
2025-05-04 04:00:00+00:00,95722.22,96142.86,95692.7,95879.99,1780.05807,binance,BTCUSDT,4h
2025-05-04 08:00:00+00:00,95879.99,95923.54,95286.78,95423.2,2146.9622,binance,BTCUSDT,4h
2025-05-04 12:00:00+00:00,95423.19,95690.48,95209.07,95467.6,1981.94879,binance,BTCUSDT,4h
2025-05-04 16:00:00+00:00,95467.6,95640.98,95239.33,95584.07,863.77274,binance,BTCUSDT,4h
2025-05-04 20:00:00+00:00,95584.07,95758.08,94151.38,94277.62,2740.34508,binance,BTCUSDT,4h
2025-05-05 00:00:00+00:00,94277.61,94808.4,93514.1,94031.47,4140.14024,binance,BTCUSDT,4h
2025-05-05 04:00:00+00:00,94031.47,94825.46,94020.66,94761.91,2335.74375,binance,BTCUSDT,4h
2025-05-05 08:00:00+00:00,94761.91,94798.01,93888.0,94038.18,2541.09717,binance,BTCUSDT,4h
2025-05-05 12:00:00+00:00,94038.19,94531.74,93613.66,93770.31,4184.72517,binance,BTCUSDT,4h
2025-05-05 16:00:00+00:00,93770.32,94900.0,93759.63,94347.17,2339.27872,binance,BTCUSDT,4h
2025-05-05 20:00:00+00:00,94347.16,95199.0,93876.0,94733.68,1710.19684,binance,BTCUSDT,4h
